objectid,reporter,RecOwner,SciName,ComName,Nativity,OccStatus,Status,ObsDate,DateEnt,DateUp,Location,Latitude,Longitude,Datum,Method,CoordAcc,DataType,Centroid,Abundance,InfestAcre,GrossAcre,Percentcov,Density,Quantity,QuantityU,APPXQuant,NumCollect,Smallest,Largest,Incidence,Severity,Host,Host_Name,HostPheno,HostDamage,ManageStat,PopStat,Habitat,LocalOwner,Site,RecBasis,Museum,MuseumRec,Voucher,ObsIDer,CollectTme,UUID,OrgSrcID,OrigName,RecSrcTyp,Surveyor,DateAcc,VisitType,DataMthd,TrapType,NumTraps,TargetName,TargetCnt,TargetRnge,Phenology,LifeStatus,Sex,PID,WaterName,WaterType,Substrate,TreatArea,PlantTreat,TreatComm,Reference,Locality,Comments,ReviewDate,Reviewer,VerifyMthd,Verified,IDCred,ReviewComm,CurrentRecord
462630,Jeffrey Carter Rookery Bay NERR,General Public,Python molurus ssp. bivittatus,Burmese python,Introduced,Detected,Positive,2008-12-27,2008-12-30,2012-01-04,"""Collier, Florida, United States""","  26.02109"," -81.70120",WGS84     ,WAAS GPS,,,,,,,,,,,,,,,,,,,,,Unknown,,Wetlands: Marsh                                   ,                                                                                                                                                                                                        ,,Human Observation,"""Florida Museum of Natural History Herpetology Collection                                                                                                                                                                                                       """,UF 165910                                         ,,"""David Finney, Natural Resources Stewardship Div.""",,,"7767",,Web Report,,,,,,,,,,,,,,,,,,,,"""Jeffrey Carter, Rookery Bay National Estuarine Reserve, personal communication""","""Collier County, Hyw 951 appx 200m S of Shell Island Rd""",,,,Voucher Photographs,Verified,Verified,,"1"
595714,Joshua Holbrook Palm Beach Atlantic University,University,Python molurus ssp. bivittatus,Burmese python,Introduced,Detected,Positive,2009-03-27,2009-03-30,2012-01-04,"""Miami-Dade, Florida, United States""","  25.25307"," -80.79842",WGS84     ,WAAS GPS,,,,,,,,,,,,,,,,,,,,,Unknown,,Edge: Roadside                                    ,Everglades                                                                                                                                                                                              ,,Human Observation,"""Florida Museum of Natural History Herpetology Collection                                                                                                                                                                                                       """,UF 165915                                         ,,,,,"8461",,Web Report,,,,,,,,,,,,,,,,,,,,"""Joshua Holbrook, Palm Beach Atlantic University, personal communication""","""Everglades National Park, Appx 200 meters south on Main Park Road from the southern turnoff to Nine Mile Pond""","""Sprawled out on the east side of the road, with its tail on the shoulder an its head one foot over the double yellow line. Found at 1:30 am, 24.4 degrees C. As most wild pythons; was highly agressive. """,,,Voucher Photographs,Verified,Verified,,"1"
595716,Skip Snow Everglades National Park,General Public,Salvator merianae,Argentine black and white tegu,Introduced,Detected,Positive,2009-03-30,2009-04-02,2011-12-21,"""Miami-Dade, Florida, United States""","  25.43508"," -80.50148",WGS84     ,Reported,,,,,,,,,,,,"1",,,,,,,,,Unknown,,Edge: Roadside                                    ,                                                                                                                                                                                                        ,,Human Observation,"""Florida Museum of Natural History Herpetology Collection                                                                                                                                                                                                       """,UF 155488                                         ,,"""Rodda and Rozar""",,,"7884",Tupinambis merianae,Web Report,,,,,,,,,,,,,,,,,,,,"""Skip Snow, National Park Service, personal communication""","""Florida City, Tower Rd (SW 192nd Ave) approximately 7 m north of SW 358th St. Just south of the Everglades Outpost""","""Recent DOR Tupinambis merianae (black and white tegu)collected at 1732 hrs. In ENP chest freezer awaiting transfer to FLMNH if desired. Collectetd by Gordon Rodda and Ron Rozar (USGS). Carcass Mass = 2.120 Kg. Photos taken. Between May 2007 and November 2008 three additional DOR tegus have been observed in the same area. All three were between Robert is Here and Everglades Outpost....closer to the Outpost. Two were most likely T. merianae and the third was most likely T. teguixin. Carcasses were badly damaged.   Nothing was collected and no photos were taken. """,,,Voucher Specimens,Verified,Verified,,"1"
608840,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Salvator merianae,Argentine black and white tegu,Introduced,Detected,Positive,2007-01-29,2009-05-03,2012-01-04,"""Hillsborough, Florida, United States""","  27.77257"," -82.22635",WGS84     ,WAAS GPS,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,Human Observation,,,,,,,"6675",Tupinambis merianae,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Bernard Kaiser, Hillsborough County Parks, Recreation, and Conservation Department, personal communication.""","""Balm Boyette Scrub, Fire road appx 2.6 km E of Balm Boyette Rd.""","""Prescribed fire crew observed large tegu on fire road during burn. """,2009-05-03,Florida Fish and Wildlife Conservation Commission,,Verified,Credible,,"1"
608866,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Salvator merianae,Argentine black and white tegu,Introduced,Detected,Positive,2007-02-27,2009-05-03,2012-01-04,"""Hillsborough, Florida, United States""","  27.79260"," -82.11130",WGS84     ,GoogleEarth 4.2.x,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,Human Observation,,,,,,,"6704",Tupinambis merianae,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Personal Communication""","""Lillibridge, Jameson Rd appx. 100 yds W of Lillibridge""","""Reported in response to tegu fliers posted in Hillsborogh County. Reported a 3.5 ft lizard that looked like the tegu on the flier. """,2009-05-03,Florida Fish and Wildlife Conservation Commission,,Verified,Credible,,"1"
608904,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Salvator merianae,Argentine black and white tegu,Introduced,Detected,Positive,2007-03-12,2009-05-03,2012-01-04,"""Hillsborough, Florida, United States""","  27.77740"," -82.13700",WGS84     ,GoogleEarth 4.2.x,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,Human Observation,,,,,,,"6679",Tupinambis merianae,Bulk Data,,,,,,,,,,,,,,,,,,,,"""C. Liney, Florida Department of Environmental Protection State Parks, personal communication.""","""Alafia River State Park, Service road just SE of campground""",,2009-05-03,Florida Fish and Wildlife Conservation Commission,,Verified,Credible,,"1"
608909,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Salvator merianae,Argentine black and white tegu,Introduced,Detected,Positive,2007-03-13,2009-05-03,2012-01-04,"""Hillsborough, Florida, United States""","  27.77820"," -82.13620",WGS84     ,GoogleEarth 4.2.x,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,Human Observation,,,,,,,"6682",Tupinambis merianae,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Personal Communication""","""Alafia River State Park, Approx 20 ft E of the intersection of North Creek and River Loop bike trails""","""Reported in response to tegu fliers posted in Hillsborogh County. Reported a 2.5 - 3.0 ft lizard that looked like the tegu on the flier. The lizard was basking in a clearing on the side of the mountain bike trail. """,2009-05-03,Florida Fish and Wildlife Conservation Commission,,Verified,Credible,,"1"
608919,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Basiliscus vittatus,brown basilisk,Introduced,Detected,Positive,2008-03-18,2009-05-03,2012-01-04,"""Hillsborough, Florida, United States""","  27.79614"," -82.24469",WGS84     ,GoogleEarth 4.2.x,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,Human Observation,,,,,,,"7196",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Personal Communication""","""Hillsborough County, Balm-Boyette Rd appx 500 m N of Balm-Boyette Scrub""","""Described an approximately 2ft lizard, dark gray to black with greenish stripes. Ran on hind legs. """,2009-05-03,Florida Fish and Wildlife Conservation Commission,,Verified,Credible,,"1"
608924,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Salvator merianae,Argentine black and white tegu,Introduced,Detected,Positive,2007-03-21,2009-05-03,2012-01-04,"""Hillsborough, Florida, United States""","  27.78420"," -82.14020",WGS84     ,GoogleEarth 4.2.x,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,Human Observation,,,,,,,"6693",Tupinambis merianae,Bulk Data,,,,,,,,,,,,,,,,,,,,"""S. Schmidt, Florida Department of Environmental Protection State Parks, personal communication""","""Alafia River State Park, Equestrian White Trail at intersection with main park road""",,2009-05-03,Florida Fish and Wildlife Conservation Commission,,Verified,Credible,,"1"
608945,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Salvator merianae,Argentine black and white tegu,Introduced,Detected,Positive,2007-03-24,2009-05-03,2012-01-04,"""Hillsborough, Florida, United States""","  27.79958"," -82.27557",WGS84     ,GoogleEarth 4.2.x,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,Human Observation,,,,,,,"6709",Tupinambis merianae,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Bernard Kaiser, Hillsborough County Parks, Recreation, and Conservation Department, personal communication.""","""Tropical Acres, 13107 Lovers Lane""","""Resident reported seeing a appx. 4 ft tegu in her backyard and her neighbors backyard. """,2009-05-03,Florida Fish and Wildlife Conservation Commission,,Verified,Credible,,"1"
608965,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Salvator merianae,Argentine black and white tegu,Introduced,Detected,Positive,2007-03-28,2009-05-03,2012-01-04,"""Hillsborough, Florida, United States""","  27.78191"," -82.27762",WGS84     ,GoogleEarth 4.2.x,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,Human Observation,,,,,,,"6686",Tupinambis merianae,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Personal Communication""","""Balm Boyette Scrub, Balm-Riverview Rd. appx 1.35km north of intersection with CR 672""","""Reported in response to tegu fliers posted in Hillsborogh County. Tegu was observed on east side of Balm Riverview Rd. apparently crossing the road from east to west. It retreated to back to the east when approached. """,2009-05-03,Florida Fish and Wildlife Conservation Commission,,Verified,Credible,,"1"
608986,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Salvator merianae,Argentine black and white tegu,Introduced,Detected,Positive,2007-04-05,2009-05-03,2014-08-11,"""Hillsborough, Florida, United States""","  27.67927"," -82.12092",WGS84     ,Reported,,,,,,,,,,,,"1",,,,,,,,,Unknown,,,,,Human Observation,"""                                                                                                                                                                                                                                                               """,,,,,,"6671",Tupinambis merianae,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Personal Communication""","""Mosaic FCO Plant, Taylor Gill Road NW of FCO Plant""","""Tracks. """,2009-05-03,Florida Fish and Wildlife Conservation Commission,,Verified,Credible,,"1"
609029,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Salvator merianae,Argentine black and white tegu,Introduced,Detected,Positive,2008-04-13,2009-05-03,2012-01-04,"""Hillsborough, Florida, United States""","  27.77737"," -82.18793",WGS84     ,GoogleEarth 4.2.x,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,Human Observation,,,,,,,"7070",Tupinambis merianae,Bulk Data,,,,,,,,,,,,,,,,,,,,"""D. Watson, Hillsborough County, personal communication""","""Hillsborough County, Hillsborough County Landfill""","""Appx 4 ft lizard was observed on road and photographed with cell phone cameras. """,2009-05-03,Florida Fish and Wildlife Conservation Commission,,Verified,Credible,,"1"
609040,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Salvator merianae,Argentine black and white tegu,Introduced,Detected,Positive,2006-04-17,2009-05-03,2012-01-04,"""Hillsborough, Florida, United States""","  27.77704"," -82.14668",WGS84     ,GoogleEarth 4.2.x,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,Human Observation,,,,,,,"6677",Tupinambis merianae,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Personal Communication""","""Hillsborough County, CR 39 at intersection of Gray Rd""",,2009-05-03,Florida Fish and Wildlife Conservation Commission,,Verified,Credible,,"1"
609059,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Salvator merianae,Argentine black and white tegu,Introduced,Detected,Positive,2009-04-24,2009-05-03,2014-07-01,"""Hillsborough, Florida, United States""","  27.78922"," -82.29927",WGS84     ,GoogleEarth,,,,,,,,,,,,"1",,,,,,,,,Unknown,,,,,Human Observation,"""                                                                                                                                                                                                                                                               """,,,,,,"7964",Tupinambis merianae,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Personal Communication""","""South Cove, Vicinity of 11614 Misty Isle Ln""",,2009-05-03,Florida Fish and Wildlife Conservation Commission,,Verified,Credible,,"1"
609076,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Positive,2007-05-02,2009-05-03,2014-08-11,"""Broward, Florida, United States""","  26.03312"," -80.37764",WGS84     ,WAAS GPS,,,,,,,,,,,,"1",,,,,,,,,Unknown,,,,,Human Observation,"""                                                                                                                                                                                                                                                               """,,,,,,"6191",Varanus niloticus,Bulk Data,,,,,,,,,,,,,,,,,,,,"""R. St. George, Broward County Environmental Protection Division, personal communication""","""Southwest Ranches, NW corner of the intersection of a drainage canal N of 6980 SW 173rd Way and SW 172nd Ave.""","""1 observed. """,2009-05-03,Florida Fish and Wildlife Conservation Commission,,Verified,Credible,,"1"
609083,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Basiliscus vittatus,brown basilisk,Introduced,Detected,Positive,2005-05-11,2009-05-03,2012-01-04,"""Orange, Florida, United States""","  28.58179"," -81.39820",WGS84     ,GoogleEarth 4.2.x,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,Human Observation,,,,,,,"268",,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Personal Communication""","""Orlando, 1264 Alexandra Ct.""","""Reported a lizard that ran on its hind legs. Looked up on Google and appeared to be a basilisk. """,2009-05-03,Florida Fish and Wildlife Conservation Commission,,Verified,Credible,,"1"
609084,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Salvator merianae,Argentine black and white tegu,Introduced,Detected,Positive,2006-05-11,2009-05-03,2012-01-04,"""Hillsborough, Florida, United States""","  27.80281"," -82.10293",WGS84     ,WAAS GPS,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,Human Observation,,,,,,,"6712",Tupinambis merianae,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Personal Communication""","""Mosaic Corporation Mine, Dirt road between mines on Mosaic property""","""Morning sighting crossing road (black lizard) """,2009-05-03,Florida Fish and Wildlife Conservation Commission,,Verified,Credible,,"1"
609085,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Varanus niloticus,Nile monitor,Introduced,Detected,Positive,2007-05-12,2009-05-03,2014-08-11,"""Osceola, Florida, United States""","  28.31323"," -81.45180",WGS84     ,GoogleEarth,,,,,,,,,,,,"1",,,,,,,,,Unknown,,,,,Human Observation,"""                                                                                                                                                                                                                                                               """,,,,,,"6197",Varanus niloticus,Bulk Data,,,,,,,,,,,,,,,,,,,,"""E. Foerste, University of Florida Osceola County Extention, personal communication""","""Kissimmee, Shingle Creek approx 1.0 km N of Hwy 192""","""1 observed. """,2009-05-03,Florida Fish and Wildlife Conservation Commission,,Verified,Credible,,"1"
609096,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Salvator merianae,Argentine black and white tegu,Introduced,Detected,Positive,2006-05-19,2009-05-03,2012-01-04,"""Hillsborough, Florida, United States""","  27.78677"," -82.14515",WGS84     ,GoogleEarth 4.2.x,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,Human Observation,,,,,,,"6700",Tupinambis merianae,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Personal Communication""","""Hillsborough County, CR 39 appx 2.7km N of the intersection with CR 672""",,2009-05-03,Florida Fish and Wildlife Conservation Commission,,Verified,Credible,,"1"
609106,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Agama picticauda,Peter's rock agama,Introduced,Detected,Positive,2003-05-26,2009-05-03,2009-05-03,"""Seminole, Florida, United States""","  28.76891"," -81.28171",WGS84     ,ArcGIS 9.x,,,,,,,,,,,,"13",,,,,,,,,Unknown,,,,,Human Observation,"""Florida Museum of Natural History Herpetology Collection                                                                                                                                                                                                       """,UF 136983-88                                      ,,,,,"20",Agama agama africana,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Enge, K. M., K. L. Krysko, and B. L. Talley. 2004. Distribution and ecology of the introduced African rainbow lizard, Agama agama africana (Sauria: Agamidae), in Florida. Florida Scientist 67:303-310.""","""Sanford, 3094 S Orlando Dr""","""Established population localized in the area between 2900 and 3094 S Orlando Dr. Additonal citation Krysko et al. 2005. """,2009-05-03,Florida Fish and Wildlife Conservation Commission,Voucher Specimens,Verified,Verified,,"1"
609127,FWCC Exotic Species Database Florida Fish and Wildlife Conservation Commission,State Agency,Salvator merianae,Argentine black and white tegu,Introduced,Detected,Positive,2006-06-07,2009-05-03,2012-01-04,"""Hillsborough, Florida, United States""","  27.80008"," -82.14506",WGS84     ,GoogleEarth 4.2.x,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,Human Observation,,,,,,,"6710",Tupinambis merianae,Bulk Data,,,,,,,,,,,,,,,,,,,,"""Personal Communication""","""Hillsborough County, CR 39 appx 4.2km N of the intersection with CR 672""",,2009-05-03,Florida Fish and Wildlife Conservation Commission,,Verified,Credible,,"1"
